565,0.25931,0.31377,0.072342,0.55193,0.61684,0.26746,0.2604,1.3301
6.0001e+05,0.25131,0.28077,0.072342,0.28319,0.50328,0.27089,0.36391,1.2494
2242,0.39548,0.43003,0.62599,0.21365,0.37765,0.2256,0.21382,1.2467
31,0.1152,0.18614,0.072342,0.18991,0.35449,0.31892,0.32296,1.2419
2214,0.18653,0.18102,0.072342,0.18571,0.36619,0.29311,0.37076,1.2132
2360,0.176,0.21497,0.072342,0.2158,0.40347,0.29169,0.27386,1.2094
6.0016e+05,0.20284,0.24874,0.072342,0.17307,0.33336,0.28934,0.27657,1.2053
969,0.31067,0.2793,0.088945,0.16601,0.3439,0.61993,0.18864,1.1998
6.0037e+05,0.26292,0.3499,0.51631,0.22724,0.25672,0.25679,0.29871,1.1841
6.0082e+05,0.36162,0.37862,0.12372,0.19597,0.26704,0.62593,0.21536,1.1712
3.0031e+05,0.18933,0.25174,0.073608,0.23061,0.30321,0.29695,0.34476,1.1709
2330,0.12914,0.1484,0.093212,0.1421,0.27487,0.32235,0.412,1.1641
6.0033e+05,0.19304,0.23696,0.072342,0.19961,0.27631,0.29184,0.47032,1.1579
2460,0.27023,0.28881,0.072342,0.25219,0.45398,0.25904,0.34782,1.1516
671,0.23962,0.28449,0.11598,0.23845,0.54982,0.27608,0.60218,1.151
736,0.10114,0.17257,0.072342,0.20088,0.23175,0.32018,0.45369,1.1446
6.0017e+05,0.25028,0.30122,0.091477,0.12161,0.25325,0.60131,0.17874,1.1369
6.0123e+05,0.2997,0.27458,0.082392,0.37343,0.57612,0.25675,0.2257,1.1313
2355,0.29965,0.27245,0.17858,0.17634,0.38828,0.61473,0.18782,1.1306
6.0067e+05,0.28274,0.30952,0.12095,0.19089,0.30033,0.59206,0.21705,1.1198
2067,0.19258,0.24003,0.072342,0.073928,0.21607,0.27501,0.23473,1.1168
2085,0.2679,0.29689,0.086719,0.07814,0.22367,0.26755,0.27582,1.1007
839,0.25952,0.28828,0.15206,0.10522,0.28864,0.26662,0,1.0955
6.0023e+05,0.15211,0.2293,0.11735,0.10098,0.22385,0.30656,0.41291,1.0943
3.0023e+05,0.33572,0.36227,0.22873,0.13107,0.11948,0.22293,0,1.0899
6.0085e+05,0.25883,0.27876,0.072342,0.34757,0.47797,0.25281,0.29048,1.0872
